payment_id,order_id,payment_type,payment_value,installments
83,83,Debit Card,98.43,1
84,84,Credit Card,250.84,2
85,85,Credit Card,27.4,1
86,86,Boleto,729.3,1
87,87,Credit Card,97.51,5
88,88,Credit Card,126.2,1
89,89,Credit Card,912.95,1
90,90,Credit Card,72.77,2
91,91,Voucher,177.87,1
92,92,Credit Card,28.79,1
93,93,Credit Card,183.79,10
94,94,Credit Card,188.45,8
95,95,Credit Card,47.32,4
96,96,Credit Card,50.53,1
97,97,Credit Card,98.37,1
98,98,Credit Card,237.59,4
99,99,Voucher,173.86,1
100,100,Credit Card,128.99,6
101,101,Credit Card,36.73,1
102,102,Credit Card,45.0,2
103,103,Boleto,134.15,1
104,104,Credit Card,76.65,3
105,105,Credit Card,220.12,3
106,106,Credit Card,130.84,4
107,107,Credit Card,51.65,2
108,108,Credit Card,63.27,1
109,109,Credit Card,256.59,4
110,110,Credit Card,76.66,1
111,111,Credit Card,349.66,10
112,112,Credit Card,104.76,5
113,113,Boleto,189.83,1
114,114,Boleto,123.03,1
115,115,Credit Card,117.85,2
116,116,Credit Card,371.89,10
117,117,Credit Card,464.78,5
118,118,Credit Card,149.36,7
119,119,Boleto,113.53,1
120,120,Credit Card,79.98,1
121,121,Credit Card,177.01,4
122,122,Debit Card,37.72,1
123,123,Credit Card,81.78,1
124,124,Credit Card,4513.32,10
125,125,Credit Card,357.13,7
126,126,Credit Card,592.88,8
127,127,Credit Card,179.3,2
128,128,Boleto,57.1,1
129,129,Boleto,159.12,1
130,130,Credit Card,62.69,2
131,131,Credit Card,70.54,3
132,132,Credit Card,70.27,2
133,133,Credit Card,195.62,4
134,134,Credit Card,67.5,1
135,135,Credit Card,67.13,1
136,136,Boleto,73.34,1
137,137,Credit Card,60.69,5
138,138,Credit Card,73.55,2
139,139,Boleto,72.66,1
140,140,Credit Card,997.54,4
141,141,Credit Card,113.2,6
142,142,Boleto,33.1,1
143,143,Credit Card,77.89,7
144,144,Credit Card,149.88,1
145,145,Credit Card,158.75,2
146,146,Boleto,193.46,1
147,147,Voucher,44.1,1
148,148,Credit Card,135.48,4
149,149,Credit Card,558.96,5
150,150,Credit Card,87.64,4
151,151,Credit Card,284.49,4
152,152,Credit Card,74.3,3
153,153,Credit Card,46.05,1
154,154,Credit Card,1014.61,15
155,155,Boleto,165.81,1
156,156,Credit Card,220.88,3
157,157,Credit Card,403.8,8
158,158,Credit Card,67.94,1
159,159,Boleto,153.13,1
160,160,Credit Card,157.54,4
161,161,Debit Card,55.88,1
162,162,Boleto,26.84,1
163,163,Credit Card,345.07,10
164,164,Credit Card,548.03,5
165,165,Credit Card,285.78,2
166,166,Credit Card,100.41,1
167,167,Credit Card,64.75,6
168,168,Credit Card,213.83,2
169,169,Credit Card,207.66,10
170,170,Credit Card,189.1,4
171,171,Credit Card,248.8,10
172,172,Credit Card,119.48,5
173,173,Boleto,71.62,1
174,174,Credit Card,208.09,1
175,175,Boleto,174.65,1
176,176,Credit Card,31.22,3
177,177,Boleto,51.03,1
178,178,Voucher,103.34,1
179,179,Credit Card,68.59,3
180,180,Credit Card,223.24,1
181,181,Voucher,111.17,1
182,182,Credit Card,91.79,1
183,183,Credit Card,87.39,1
184,184,Boleto,85.81,1
185,185,Boleto,151.29,1
186,186,Credit Card,218.63,1
187,187,Credit Card,470.73,6
188,188,Credit Card,150.87,1
189,189,Boleto,29.77,1
190,190,Boleto,160.77,1
191,191,Credit Card,86.73,3
192,192,Boleto,143.92,1
193,193,Credit Card,204.49,3
194,194,Boleto,185.96,1
195,195,Credit Card,43.34,4
196,196,Credit Card,354.9,1
197,197,Boleto,329.98,1
198,198,Credit Card,30.95,3
199,199,Credit Card,148.6,1
200,200,Credit Card,110.4,10
201,201,Credit Card,187.51,3
202,202,Boleto,105.77,1
203,203,Credit Card,62.86,4
204,204,Boleto,85.15,1
205,205,Credit Card,94.63,1
206,206,Boleto,114.65,1
207,207,Credit Card,467.09,4
208,208,Credit Card,155.16,2
209,209,Voucher,65.0,1
210,210,Boleto,1234.62,1
211,211,Credit Card,154.12,4
212,212,Credit Card,45.71,2
213,213,Credit Card,732.29,8
214,214,Credit Card,42.51,1
215,215,Voucher,62.47,1
216,216,Credit Card,846.7,4
217,217,Credit Card,105.28,4
218,218,Credit Card,711.07,2
219,219,Credit Card,209.43,8
220,220,Credit Card,130.34,2
221,221,Credit Card,86.04,3
222,222,Credit Card,143.43,4
223,223,Credit Card,144.56,6
224,224,Credit Card,185.93,5
225,225,Debit Card,336.0,1
226,226,Credit Card,110.7,2
227,227,Credit Card,88.72,3
228,228,Credit Card,73.15,2
229,229,Credit Card,85.33,3
230,230,Credit Card,227.24,6
231,231,Credit Card,53.55,4
232,232,Credit Card,84.14,3
233,233,Boleto,196.92,1
234,234,Credit Card,247.05,2
235,235,Credit Card,73.05,1
236,236,Credit Card,121.68,3
237,237,Credit Card,120.65,2
238,238,Credit Card,118.29,1
239,239,Credit Card,47.68,2
240,240,Credit Card,46.69,1
241,241,Boleto,69.09,1
242,242,Credit Card,1269.5,10
243,243,Credit Card,218.74,4
244,244,Credit Card,35.38,1
245,245,Credit Card,116.36,1
246,246,Credit Card,77.98,7
247,247,Credit Card,66.63,1
248,248,Boleto,75.25,1
249,249,Credit Card,324.29,5
250,250,Boleto,43.95,1
251,251,Credit Card,25.29,2
252,252,Credit Card,174.13,10
253,253,Credit Card,61.38,2
254,254,Credit Card,140.62,2
255,255,Boleto,89.88,1
256,256,Credit Card,92.17,4
257,257,Credit Card,57.38,2
258,258,Credit Card,336.13,7
259,259,Voucher,48.6,1
260,260,Credit Card,42.39,1
261,261,Credit Card,450.53,9
262,262,Credit Card,33.34,1
263,263,Credit Card,36.69,1
264,264,Boleto,190.37,1
265,265,Credit Card,117.78,4
266,266,Credit Card,256.5,1
267,267,Credit Card,86.61,2
268,268,Credit Card,146.27,2
269,269,Boleto,110.13,1
270,270,Credit Card,116.24,11
271,271,Credit Card,148.69,1
272,272,Boleto,118.95,1
273,273,Credit Card,120.29,2
274,274,Credit Card,669.71,10
275,275,Credit Card,22.78,2
276,276,Credit Card,51.71,1
277,277,Boleto,296.64,1
278,278,Credit Card,101.19,2
279,279,Credit Card,193.47,8
280,280,Credit Card,171.49,10
281,281,Credit Card,162.48,3
282,282,Credit Card,97.2,9
283,283,Credit Card,146.02,4
284,284,Credit Card,188.04,7
285,285,Credit Card,90.99,4
286,286,Boleto,27.68,1
287,287,Credit Card,63.23,4
288,288,Credit Card,101.51,2
289,289,Credit Card,356.06,6
290,290,Debit Card,74.56,1
291,291,Credit Card,89.19,5
292,292,Credit Card,133.18,2
293,293,Credit Card,80.89,6
294,294,Credit Card,46.16,1
295,295,Boleto,179.6,1
296,296,Credit Card,167.77,6
297,297,Credit Card,34.09,1
298,298,Boleto,155.05,1
299,299,Credit Card,48.28,1
300,300,Boleto,58.88,1
301,301,Credit Card,75.25,1
302,302,Credit Card,118.28,10
303,303,Boleto,115.45,1
304,304,Credit Card,55.69,5
305,305,Debit Card,21.43,1
306,306,Credit Card,75.06,3
307,307,Voucher,165.76,1
308,308,Credit Card,596.62,3
309,309,Boleto,42.27,1
310,310,Credit Card,185.25,6
311,311,Boleto,18.76,1
312,312,Credit Card,70.74,1
313,313,Credit Card,103.14,6
314,314,Boleto,92.11,1
315,315,Credit Card,133.35,1
316,316,Credit Card,120.53,4
317,317,Credit Card,63.76,1
318,318,Credit Card,73.83,3
319,319,Credit Card,54.63,2
320,320,Boleto,175.39,1
321,321,Credit Card,47.67,1
322,322,Credit Card,32.38,1
323,323,Credit Card,64.14,1
324,324,Credit Card,74.41,7
325,325,Boleto,40.86,1
326,326,Credit Card,184.49,3
327,327,Credit Card,110.32,3
328,328,Credit Card,189.16,9
329,329,Credit Card,50.29,3
330,330,Credit Card,120.39,3
331,331,Credit Card,126.85,5
332,332,Boleto,113.41,1
333,333,Credit Card,26.53,1
334,334,Credit Card,84.62,4
335,335,Boleto,94.54,1
336,336,Boleto,43.01,1
337,337,Voucher,66.69,1
338,338,Credit Card,31.77,1
339,339,Credit Card,204.18,1
340,340,Credit Card,50.0,2
341,341,Credit Card,48.21,1
342,342,Credit Card,68.48,2
343,343,Voucher,50.17,1
344,344,Credit Card,120.22,10
345,345,Boleto,120.18,1
346,346,Credit Card,26.28,2
347,347,Boleto,125.39,1
348,348,Credit Card,89.17,1
349,349,Credit Card,114.79,3
350,350,Credit Card,82.33,1
351,351,Credit Card,97.02,3
352,352,Credit Card,220.54,3
353,353,Credit Card,137.3,5
354,354,Credit Card,76.64,5
355,355,Credit Card,52.32,2
356,356,Credit Card,70.91,1
357,357,Boleto,82.33,1
358,358,Credit Card,49.52,1
359,359,Credit Card,312.93,8
360,360,Credit Card,196.08,8
361,361,Credit Card,57.34,1
362,362,Boleto,37.52,1
363,363,Credit Card,35.69,3
364,364,Boleto,55.13,1
365,365,Credit Card,103.04,2
366,366,Credit Card,283.62,3
367,367,Credit Card,68.32,1
368,368,Credit Card,115.76,2
369,369,Credit Card,107.85,1
370,370,Credit Card,46.11,4
371,371,Credit Card,36.78,2
372,372,Credit Card,101.9,3
373,373,Credit Card,245.36,3
374,374,Credit Card,22.29,1
375,375,Credit Card,149.09,5
376,376,Boleto,66.64,1
377,377,Credit Card,101.14,2
378,378,Credit Card,107.78,5
379,379,Credit Card,96.8,4
380,380,Debit Card,36.67,1
381,381,Boleto,73.34,1
382,382,Boleto,119.42,1
383,383,Credit Card,45.0,1
384,384,Credit Card,578.82,20
385,385,Credit Card,62.93,6
386,386,Boleto,30.86,1
387,387,Credit Card,95.99,4
388,388,Credit Card,382.92,6
389,389,Credit Card,27.19,1
390,390,Credit Card,95.01,2
391,391,Credit Card,191.58,4
392,392,Credit Card,455.04,9
393,393,Credit Card,99.46,9
394,394,Credit Card,283.29,5
395,395,Boleto,225.14,1
396,396,Credit Card,24.87,1
397,397,Credit Card,111.17,4
398,398,Credit Card,130.56,2
399,399,Credit Card,146.06,7
400,400,Boleto,48.13,1
401,401,Boleto,38.09,1
402,402,Credit Card,43.62,1
403,403,Credit Card,44.09,1
404,404,Credit Card,98.98,1
405,405,Credit Card,45.22,2
406,406,Credit Card,103.51,1
407,407,Voucher,74.67,1
408,408,Credit Card,92.57,4
409,409,Credit Card,91.05,1
410,410,Credit Card,21.48,1
411,411,Credit Card,162.75,2
412,412,Boleto,47.0,1
413,413,Credit Card,103.26,3
414,414,Credit Card,2028.75,1
415,415,Boleto,472.8,1
416,416,Boleto,117.58,1
417,417,Credit Card,206.87,4
418,418,Credit Card,82.88,1
419,419,Credit Card,224.12,1
420,420,Credit Card,119.12,2
421,421,Credit Card,94.3,2
422,422,Credit Card,106.5,1
423,423,Credit Card,94.55,2
424,424,Credit Card,113.93,5
425,425,Credit Card,37.6,1
426,426,Credit Card,96.65,5
427,427,Credit Card,128.0,3
428,428,Credit Card,86.1,4
429,429,Credit Card,309.22,1
430,430,Credit Card,121.69,2
431,431,Credit Card,18.62,1
432,432,Credit Card,149.88,8
433,433,Credit Card,124.84,10
434,434,Credit Card,29.77,1
435,435,Credit Card,150.0,1
436,436,Boleto,333.51,1
437,437,Credit Card,82.87,8
438,438,Credit Card,455.83,3
439,439,Boleto,157.8,1
440,440,Credit Card,23.72,2
441,441,Credit Card,109.33,1
442,442,Credit Card,418.23,8
443,443,Boleto,73.34,1
444,444,Credit Card,188.48,7
445,445,Credit Card,687.43,10
446,446,Credit Card,62.41,1
447,447,Credit Card,777.0,3
448,448,Credit Card,87.64,4
449,449,Credit Card,77.19,3
450,450,Boleto,108.63,1
451,451,Boleto,65.0,1
452,452,Credit Card,23.36,1
453,453,Boleto,91.18,1
454,454,Credit Card,70.38,1
455,455,Credit Card,97.87,3
456,456,Credit Card,199.69,3
457,457,Credit Card,49.24,4
458,458,Credit Card,38.19,2
459,459,Credit Card,253.36,4
460,460,Credit Card,88.27,3
461,461,Credit Card,33.17,1
462,462,Credit Card,59.63,5
463,463,Credit Card,48.21,1
464,464,Credit Card,128.08,1
465,465,Credit Card,27.01,1
466,466,Boleto,131.47,1
467,467,Credit Card,152.76,1
468,468,Credit Card,306.94,3
469,469,Credit Card,396.9,3
470,470,Credit Card,98.72,9
471,471,Voucher,61.11,1
472,472,Boleto,75.16,1
473,473,Boleto,34.0,1
474,474,Boleto,120.09,1
475,475,Credit Card,57.69,3
476,476,Credit Card,188.38,8
477,477,Credit Card,193.32,6
478,478,Credit Card,56.0,1
479,479,Credit Card,60.86,6
480,480,Credit Card,54.42,5
481,481,Boleto,234.08,1
482,482,Credit Card,80.51,2
483,483,Credit Card,219.3,4
484,484,Credit Card,179.12,8
485,485,Credit Card,52.18,3
486,486,Credit Card,137.43,2
487,487,Boleto,103.55,1
488,488,Boleto,18.37,1
489,489,Credit Card,148.22,1
490,490,Credit Card,19.33,1
491,491,Credit Card,138.08,4
492,492,Boleto,33.59,1
493,493,Credit Card,206.08,1
494,494,Boleto,42.13,1
495,495,Boleto,67.62,1
496,496,Credit Card,327.62,3
497,497,Credit Card,101.33,7
498,498,Credit Card,148.33,2
499,499,Credit Card,41.84,4
500,500,Credit Card,115.35,3
501,501,Credit Card,60.85,2
502,502,Credit Card,321.58,12
503,503,Credit Card,55.62,1
504,504,Credit Card,56.95,5
505,505,Credit Card,122.07,4
506,506,Credit Card,59.01,1
507,507,Boleto,232.77,1
508,508,Credit Card,150.52,2
509,509,Boleto,28.09,1
510,510,Credit Card,683.07,8
511,511,Boleto,336.98,1
512,512,Credit Card,74.78,1
513,513,Boleto,79.22,1
514,514,Boleto,78.68,1
515,515,Boleto,192.83,1
516,516,Credit Card,296.72,4
517,517,Credit Card,126.3,8
518,518,Boleto,71.83,1
519,519,Credit Card,59.96,1
520,520,Credit Card,150.91,5
521,521,Credit Card,87.64,8
522,522,Boleto,227.61,1
523,523,Credit Card,32.39,1
524,524,Boleto,87.04,1
525,525,Credit Card,229.69,10
526,526,Credit Card,44.23,1
527,527,Credit Card,207.24,1
528,528,Boleto,58.09,1
529,529,Credit Card,29.84,2
530,530,Credit Card,226.44,4
531,531,Credit Card,44.0,4
532,532,Boleto,972.48,1
533,533,Credit Card,45.48,2
534,534,Credit Card,192.03,3
535,535,Credit Card,55.86,5
536,536,Credit Card,142.68,1
537,537,Credit Card,54.13,1
538,538,Boleto,50.58,1
539,539,Credit Card,158.94,1
540,540,Credit Card,147.99,10
541,541,Credit Card,114.44,6
542,542,Credit Card,72.75,4
543,543,Credit Card,26.13,1
544,544,Debit Card,40.95,1
545,545,Credit Card,166.59,10
546,546,Credit Card,49.96,1
547,547,Credit Card,206.76,4
548,548,Credit Card,35.44,1
549,549,Credit Card,37.61,1
550,550,Credit Card,77.59,1
551,551,Credit Card,193.31,3
552,552,Credit Card,198.29,2
553,553,Credit Card,32.38,1
554,554,Credit Card,35.09,1
555,555,Boleto,105.28,1
556,556,Credit Card,88.17,4
557,557,Boleto,56.1,1
558,558,Credit Card,178.23,2
559,559,Credit Card,98.56,4
560,560,Credit Card,148.16,3
561,561,Voucher,142.04,1
562,562,Credit Card,17.35,1
563,563,Credit Card,215.03,8
564,564,Credit Card,138.06,2
565,565,Credit Card,28.18,1
566,566,Credit Card,26.01,1
567,567,Credit Card,72.06,7
568,568,Credit Card,44.69,1
569,569,Credit Card,32.77,2
570,570,Credit Card,142.98,3
571,571,Boleto,94.3,1
572,572,Credit Card,40.77,1
573,573,Credit Card,38.85,3
574,574,Boleto,55.06,1
575,575,Credit Card,119.48,3
576,576,Credit Card,133.28,10
577,577,Boleto,147.06,1
578,578,Credit Card,118.29,4
579,579,Credit Card,126.26,2
580,580,Credit Card,69.03,1
581,581,Credit Card,133.94,2
582,582,Credit Card,306.28,7
583,583,Boleto,66.67,1
584,584,Credit Card,44.09,4
585,585,Credit Card,287.1,3
586,586,Boleto,114.49,1
587,587,Credit Card,573.45,8
588,588,Credit Card,47.27,1
589,589,Boleto,35.77,1
590,590,Credit Card,134.49,1
591,591,Voucher,119.89,1
592,592,Credit Card,86.18,1
593,593,Credit Card,62.01,6
594,594,Boleto,43.31,1
595,595,Boleto,43.98,1
596,596,Credit Card,328.14,2
597,597,Credit Card,157.3,1
598,598,Credit Card,27.53,1
599,599,Credit Card,189.65,9
600,600,Credit Card,188.44,10
601,601,Boleto,89.97,1
602,602,Credit Card,166.59,3
603,603,Credit Card,43.2,1
604,604,Credit Card,77.64,3
605,605,Credit Card,75.17,1
606,606,Boleto,83.15,1
607,607,Boleto,1147.5,1
608,608,Credit Card,243.95,1
609,609,Credit Card,77.94,7
610,610,Credit Card,39.09,3
611,611,Credit Card,106.38,8
612,612,Credit Card,61.2,1
613,613,Credit Card,35.61,1
614,614,Credit Card,36.35,1
615,615,Credit Card,98.38,1
616,616,Credit Card,149.73,2
617,617,Boleto,250.07,1
618,618,Voucher,42.71,1
619,619,Credit Card,645.8,10
620,620,Credit Card,220.68,3
621,621,Boleto,66.78,1
622,622,Boleto,71.92,1
623,623,Credit Card,220.66,3
624,624,Boleto,182.94,1
625,625,Credit Card,875.9,8
626,626,Credit Card,63.35,1
627,627,Credit Card,313.4,10
628,628,Credit Card,109.39,5
629,629,Credit Card,123.49,2
630,630,Boleto,408.09,1
631,631,Credit Card,34.13,1
632,632,Credit Card,89.21,1
633,633,Credit Card,280.59,10
634,634,Credit Card,33.99,1
635,635,Credit Card,100.33,4
636,636,Credit Card,34.51,1
637,637,Credit Card,65.22,1
638,638,Credit Card,76.78,1
639,639,Credit Card,236.46,8
640,640,Credit Card,1898.61,10
641,641,Boleto,169.06,1
642,642,Credit Card,172.33,4
643,643,Credit Card,58.69,3
644,644,Credit Card,94.4,1
645,645,Credit Card,140.44,1
646,646,Credit Card,138.26,12
647,647,Credit Card,166.81,3
648,648,Credit Card,76.08,5
649,649,Credit Card,147.33,3
650,650,Credit Card,349.7,6
651,651,Credit Card,27.78,1
652,652,Boleto,46.84,1
653,653,Credit Card,237.69,1
654,654,Credit Card,132.48,2
655,655,Credit Card,147.06,5
656,656,Boleto,27.68,1
657,657,Credit Card,67.5,1
658,658,Credit Card,157.3,7
659,659,Credit Card,121.7,1
660,660,Credit Card,76.34,2
661,661,Boleto,143.82,1
662,662,Boleto,213.54,1
663,663,Credit Card,98.54,4
664,664,Credit Card,592.42,10
665,665,Credit Card,90.26,9
666,666,Credit Card,55.24,1
667,667,Credit Card,307.94,8
668,668,Credit Card,75.74,1
669,669,Credit Card,72.78,2
670,670,Voucher,66.0,1
671,671,Credit Card,212.02,1
672,672,Credit Card,98.34,2
673,673,Credit Card,115.88,5
674,674,Credit Card,56.6,1
675,675,Boleto,60.47,1
676,676,Boleto,195.92,1
677,677,Credit Card,214.08,3
678,678,Credit Card,165.92,3
679,679,Credit Card,194.91,8
680,680,Credit Card,46.79,1
681,681,Credit Card,62.3,1
682,682,Credit Card,61.1,2
683,683,Credit Card,168.2,1
684,684,Credit Card,146.46,1
685,685,Credit Card,131.06,1
686,686,Credit Card,685.7,4
687,687,Credit Card,151.11,1
688,688,Credit Card,1936.99,10
689,689,Credit Card,102.64,3
690,690,Credit Card,58.49,2
691,691,Credit Card,52.85,5
692,692,Credit Card,100.26,3
693,693,Credit Card,267.66,8
694,694,Credit Card,134.32,4
695,695,Credit Card,102.13,2
696,696,Credit Card,149.98,9
697,697,Boleto,139.38,1
698,698,Boleto,101.34,1
699,699,Credit Card,96.8,1
700,700,Credit Card,199.78,5
701,701,Boleto,592.18,1
702,702,Credit Card,81.51,4
703,703,Credit Card,129.54,1
704,704,Credit Card,167.82,4
705,705,Credit Card,55.96,1
706,706,Credit Card,96.43,2
707,707,Credit Card,436.25,7
708,708,Credit Card,52.92,5
709,709,Boleto,170.71,1
710,710,Credit Card,254.58,2
711,711,Credit Card,92.05,9
712,712,Credit Card,153.2,7
713,713,Boleto,123.82,1
714,714,Credit Card,267.98,2
715,715,Credit Card,111.69,8
716,716,Boleto,143.65,1
717,717,Credit Card,107.78,8
718,718,Credit Card,115.45,1
719,719,Boleto,132.82,1
720,720,Credit Card,190.01,1
721,721,Credit Card,38.75,3
722,722,Credit Card,320.58,3
723,723,Boleto,23.29,1
724,724,Credit Card,122.01,3
725,725,Boleto,25.75,1
726,726,Credit Card,197.6,5
727,727,Credit Card,63.99,1
728,728,Boleto,66.6,1
729,729,Credit Card,57.68,1
730,730,Credit Card,261.29,7
731,731,Credit Card,52.85,5
732,732,Credit Card,193.6,2
733,733,Credit Card,25.74,1
734,734,Boleto,73.49,1
735,735,Boleto,221.88,1
736,736,Voucher,110.4,1
737,737,Credit Card,36.85,3
738,738,Credit Card,142.97,2
739,739,Credit Card,61.59,3
740,740,Credit Card,53.38,5
741,741,Credit Card,32.37,1
742,742,Credit Card,144.65,1
743,743,Credit Card,154.72,10
744,744,Credit Card,120.93,5
745,745,Credit Card,170.7,10
746,746,Credit Card,111.0,1
747,747,Credit Card,315.37,8
748,748,Credit Card,543.83,3
749,749,Credit Card,143.43,2
750,750,Credit Card,113.2,4
751,751,Credit Card,89.58,4
752,752,Boleto,139.11,1
753,753,Credit Card,65.0,1
754,754,Credit Card,60.63,2
755,755,Credit Card,35.2,3
756,756,Boleto,74.25,1
757,757,Credit Card,168.33,1
758,758,Credit Card,103.28,8
759,759,Boleto,40.97,1
760,760,Credit Card,31.38,1
761,761,Credit Card,450.53,9
762,762,Boleto,251.36,1
763,763,Credit Card,111.97,1
764,764,Credit Card,52.13,1
765,765,Credit Card,142.64,1
766,766,Boleto,41.0,1
767,767,Credit Card,38.27,1
768,768,Credit Card,51.93,3
769,769,Credit Card,215.8,4
770,770,Credit Card,98.44,9
771,771,Credit Card,238.32,6
772,772,Boleto,57.07,1
773,773,Boleto,95.34,1
774,774,Credit Card,57.99,1
775,775,Boleto,101.6,1
776,776,Credit Card,46.0,1
777,777,Credit Card,231.87,10
778,778,Credit Card,150.95,2
779,779,Credit Card,85.8,3
780,780,Credit Card,451.28,1
781,781,Credit Card,70.72,3
782,782,Boleto,76.07,1
783,783,Credit Card,1311.46,2
784,784,Credit Card,95.22,4
785,785,Boleto,54.23,1
786,786,Credit Card,63.0,6
787,787,Credit Card,63.61,2
788,788,Credit Card,209.97,3
789,789,Credit Card,60.94,1
790,790,Credit Card,135.34,3
791,791,Credit Card,65.71,2
792,792,Boleto,65.09,1
793,793,Credit Card,649.82,10
794,794,Boleto,85.71,1
795,795,Credit Card,204.98,2
796,796,Credit Card,77.89,1
797,797,Credit Card,18.38,1
798,798,Credit Card,87.82,1
799,799,Credit Card,70.89,7
800,800,Credit Card,539.94,8
801,801,Boleto,111.19,1
802,802,Credit Card,213.56,8
803,803,Credit Card,156.06,3
804,804,Credit Card,62.11,4
805,805,Boleto,58.16,1
806,806,Credit Card,90.17,1
807,807,Boleto,28.23,1
808,808,Credit Card,196.01,2
809,809,Credit Card,118.93,8
810,810,Boleto,236.09,1
811,811,Boleto,29.27,1
812,812,Boleto,101.48,1
813,813,Credit Card,172.69,3
814,814,Boleto,68.13,1
815,815,Credit Card,21.04,1
816,816,Credit Card,48.69,1
817,817,Credit Card,50.24,3
818,818,Credit Card,51.64,1
819,819,Boleto,57.05,1
820,820,Boleto,81.89,1
821,821,Credit Card,48.69,1
822,822,Credit Card,99.43,2
823,823,Credit Card,136.07,10
824,824,Credit Card,147.15,3
825,825,Boleto,157.35,1
826,826,Credit Card,196.29,2
827,827,Credit Card,45.0,4
828,828,Credit Card,55.22,1
829,829,Credit Card,126.19,6
830,830,Credit Card,52.05,2
831,831,Credit Card,484.25,8
832,832,Boleto,96.13,1
833,833,Boleto,162.45,1
834,834,Credit Card,142.56,1
835,835,Credit Card,53.42,3
836,836,Credit Card,41.72,3
837,837,Boleto,146.68,1
838,838,Credit Card,59.0,1
839,839,Credit Card,141.33,5
840,840,Credit Card,116.36,1
841,841,Credit Card,161.97,8
842,842,Credit Card,144.56,7
843,843,Credit Card,71.05,1
844,844,Credit Card,124.4,1
845,845,Credit Card,29.4,1
846,846,Credit Card,80.27,1
847,847,Boleto,46.1,1
848,848,Credit Card,266.89,3
849,849,Credit Card,37.84,3
850,850,Credit Card,87.73,4
851,851,Credit Card,148.69,2
852,852,Credit Card,106.38,10
853,853,Boleto,65.09,1
854,854,Credit Card,151.63,2
855,855,Credit Card,187.91,3
856,856,Boleto,110.32,1
857,857,Credit Card,161.47,4
858,858,Credit Card,41.16,3
859,859,Credit Card,60.0,2
860,860,Credit Card,104.87,2
861,861,Boleto,79.65,1
862,862,Boleto,126.23,1
863,863,Credit Card,78.02,7
864,864,Boleto,55.28,1
865,865,Boleto,152.28,1
866,866,Credit Card,106.9,3
867,867,Credit Card,67.5,1
868,868,Credit Card,279.59,3
869,869,Credit Card,150.6,3
870,870,Credit Card,57.55,1
871,871,Credit Card,147.15,3
872,872,Credit Card,240.67,1
873,873,Voucher,122.07,1
874,874,Credit Card,100.33,2
875,875,Voucher,103.14,1
876,876,Credit Card,86.15,1
877,877,Credit Card,97.65,1
878,878,Credit Card,124.93,3
879,879,Credit Card,124.8,1
880,880,Credit Card,186.43,10
881,881,Credit Card,79.2,3
882,882,Boleto,226.5,1
883,883,Credit Card,73.16,2
